step,candidate_idx,seen_fraction,avg_observations_seen_surface,newly_seen_samples,coverage_chamfer,recon_points,mesh_chamfer,mesh_vertices,mesh_triangles
1,1,0.07875,1.0,315,0.1438997261905765,306,0.07535928721937987,16727,29173
2,2,0.14425,1.0190641247833623,262,0.10266365379251276,548,0.03156607510579096,33702,60272
3,11,0.20775,1.01323706377858,254,0.05896715257237045,787,0.018512951804938678,47169,83921
4,9,0.266,1.0103383458646618,233,0.04629005606155923,1004,0.01591836221429321,58703,105920
5,10,0.32175,1.0116550116550116,223,0.04084087506016467,1222,0.015210999424300455,66529,121065
6,4,0.37575,1.010645375914837,216,0.03179793431759187,1432,0.014741247280420334,70776,130240
