step,candidate_idx,seen_fraction,avg_observations_seen_surface,newly_seen_samples,chamfer,recon_points
1,5,0.07525,1.0,301,0.10998460942687181,284
2,1,0.13925,1.007181328545781,256,0.060671952668324765,531
3,8,0.189,1.0092592592592593,199,0.043736282351891545,725
4,9,0.236,1.0180084745762712,188,0.03538835907073259,904
5,10,0.276,1.039855072463768,160,0.03094862326584996,1053
6,11,0.3115,1.0473515248796148,142,0.028477129382946064,1192
